пол;возраст;Группа;Новизна;Сложность;Нерешенность;Общий ;ША;F1;F2;Конфронтационный;Дистанцирование;Самоконтроль;Поиск социальной поддержки;Принятие ответственности;Бегство-избегание;Планирование решения проблемы;Положительная переоценка;PDI;UAI;IDV;MAS;LTO;Physical Aggression;Anger;Hostility;ШНвП;F1,1;F2,1
2;38,0;3;20,0;32,0;11,0;63,0;54,0;26,0;17,0;7,0;10,0;11,0;14,0;6,0;6,0;13,0;16,0;85,0;30,0;130,0;170,0;42,0;20,0;26,0;20,0;53,0;17,0;22,0
2;39,0;3;23,0;26,0;10,0;59,0;45,0;22,0;14,0;7,0;10,0;15,0;12,0;7,0;8,0;11,0;7,0;40,0;45,0;-10,0;-80,0;-48,0;17,0;11,0;11,0;58,0;22,0;25,0
1;38,0;3;15,0;27,0;14,0;56,0;47,0;24,0;14,0;8,0;6,0;16,0;14,0;8,0;8,0;13,0;12,0;0,0;130,0;100,0;90,0;42,0;22,0;16,0;16,0;56,0;15,0;20,0
2;37,0;3;17,0;26,0;13,0;56,0;45,0;31,0;10,0;12,0;8,0;15,0;18,0;9,0;15,0;12,0;16,0;-20,0;50,0;150,0;-10,0;-88,0;20,0;13,0;12,0;78,0;13,0;20,0
2;39,0;3;14,0;35,0;12,0;61,0;52,0;37,0;12,0;7,0;6,0;9,0;6,0;5,0;12,0;7,0;11,0;50,0;120,0;60,0;-100,0;42,0;15,0;19,0;26,0;72,0;14,0;19,0
1;62,0;4;17,0;28,0;13,0;58,0;46,0;25,0;12,0;7,0;8,0;9,0;7,0;3,0;5,0;7,0;7,0;25,0;165,0;5,0;140,0;-28,0;26,0;18,0;8,0;68,0;22,0;26,0
2;38,0;3;12,0;23,0;10,0;45,0;37,0;25,0;8,0;6,0;7,0;10,0;10,0;6,0;6,0;9,0;9,0;35,0;15,0;130,0;0,0;12,0;12,0;15,0;13,0;69,0;18,0;16,0
1;80,0;4;15,0;17,0;7,0;39,0;33,0;25,0;7,0;7,0;4,0;16,0;11,0;6,0;5,0;13,0;12,0;10,0;-60,0;50,0;-40,0;32,0;16,0;16,0;13,0;65,0;20,0;22,0
1;60,0;4;19,0;21,0;9,0;49,0;56,0;33,0;19,0;9,0;7,0;16,0;10,0;8,0;9,0;11,0;14,0;40,0;5,0;80,0;40,0;-3,0;26,0;29,0;26,0;66,0;17,0;23,0
2;33,0;3;21,0;40,0;9,0;70,0;54,0;37,0;22,0;11,0;5,0;12,0;15,0;6,0;12,0;7,0;14,0;155,0;50,0;85,0;-120,0;12,0;17,0;31,0;17,0;84,0;19,0;30,0
2;41,0;3;21,0;18,0;10,0;49,0;47,0;26,0;16,0;10,0;3,0;12,0;15,0;7,0;12,0;13,0;10,0;30,0;125,0;100,0;-40,0;92,0;31,0;24,0;18,0;79,0;15,0;25,0
2;37,0;3;19,0;16,0;7,0;42,0;49,0;30,0;8,0;8,0;12,0;14,0;11,0;11,0;15,0;7,0;11,0;60,0;155,0;105,0;130,0;-28,0;23,0;32,0;16,0;53,0;9,0;18,0
1;38,0;3;16,0;26,0;14,0;56,0;48,84126984126984;28,555555555555557;12,53968253968254;5,0;6,0;8,0;5,0;5,0;10,0;8,0;10,0;95,0;95,0;175,0;80,0;57,0;18,0;20,0;19,0;58,0;19,0;26,0
1;67,0;4;18,0;37,0;8,0;63,0;47,0;29,0;11,0;9,0;9,0;16,0;15,0;9,0;14,0;13,0;10,0;45,0;130,0;90,0;-80,0;57,0;14,0;26,0;21,0;62,0;17,258064516129032;20,741935483870968
1;57,0;4;20,0;25,0;12,0;57,0;57,0;28,0;18,0;11,0;13,0;16,0;11,0;8,0;16,0;15,0;14,0;20,0;105,0;55,0;80,0;27,0;27,0;18,0;23,0;54,0;18,0;23,0
2;25,0;3;16,0;26,0;9,0;51,0;39,0;24,0;8,0;6,0;6,0;13,0;11,0;9,0;13,0;8,0;7,0;5,0;40,0;105,0;40,0;7,0;15,0;21,0;18,0;57,0;17,0;23,0
1;28,0;3;18,0;22,0;8,0;48,0;39,0;22,0;9,0;7,0;8,0;15,0;7,0;9,0;8,0;14,0;6,0;-75,0;-15,0;50,0;80,0;57,0;21,0;19,0;15,0;80,0;18,0;24,0
1;27,0;3;19,0;30,0;17,0;66,0;50,0;23,0;15,0;8,0;12,0;9,0;3,0;6,0;8,0;12,0;15,0;60,0;30,0;35,0;230,0;62,0;32,0;17,0;27,0;57,0;19,0;23,0
2;35,0;3;16,0;26,0;12,0;54,0;45,0;21,0;10,0;7,0;4,0;11,0;13,0;7,0;7,0;11,0;12,0;40,0;140,0;135,0;-30,0;-3,0;16,0;19,0;18,0;61,0;19,0;13,0
1;61,0;4;14,0;24,0;14,0;52,0;57,0;30,0;15,0;5,0;11,0;16,0;9,0;8,0;8,0;12,0;14,0;-55,0;90,0;40,0;40,0;-3,0;20,0;16,0;14,0;63,0;16,0;23,0
1;67,0;4;17,0;21,0;16,0;54,0;48,84126984126984;28,555555555555557;12,53968253968254;7,878787878787879;7,166666666666667;12,545454545454545;10,742424242424242;6,621212121212121;9,363636363636363;11,363636363636363;11,287878787878787;95,0;5,0;80,0;20,0;57,0;20,609375;18,734375;17,484375;66,0;17,258064516129032;20,741935483870968
2;62,0;4;16,0;25,0;10,0;51,0;49,0;24,0;13,0;6,0;9,0;17,0;9,0;4,0;9,0;11,0;15,0;30,0;45,0;-20,0;-70,0;17,0;13,0;11,0;12,0;52,0;20,0;23,0
1;68,0;4;13,0;23,0;10,0;46,0;61,0;41,0;16,0;4,0;10,0;13,0;10,0;7,0;11,0;11,0;10,0;-25,0;120,0;70,0;60,0;92,0;16,0;10,0;13,0;53,0;25,0;16,0
2;72,0;4;22,0;25,0;6,0;53,0;48,84126984126984;28,555555555555557;12,53968253968254;9,0;6,0;8,0;7,0;7,0;6,0;10,0;10,0;45,15384615384615;75,61538461538461;67,76923076923077;24,46153846153846;24,923076923076923;20,609375;18,734375;17,484375;57,0;17,258064516129032;20,741935483870968
1;66,0;4;10,0;17,0;16,0;43,0;38,0;31,0;7,0;8,0;11,0;17,0;10,0;7,0;5,0;17,0;18,0;30,0;0,0;0,0;-70,0;-198,0;15,0;9,0;9,0;73,0;18,0;17,0
1;41,0;3;22,0;26,0;9,0;57,0;51,0;27,0;14,0;6,0;9,0;15,0;7,0;5,0;9,0;14,0;12,0;50,0;95,0;95,0;-10,0;67,0;22,0;8,0;25,0;47,0;23,0;26,0
2;35,0;3;22,0;30,0;5,0;57,0;58,0;37,0;15,0;11,0;6,0;15,0;15,0;9,0;17,0;10,0;18,0;100,0;75,0;80,0;-100,0;12,0;19,0;19,0;25,0;44,0;15,0;24,0
2;30,0;3;4,0;19,0;20,0;43,0;50,0;34,0;8,0;7,0;3,0;13,0;11,0;3,0;7,0;14,0;16,0;145,0;180,0;120,0;80,0;-48,0;23,0;12,0;14,0;80,0;14,0;21,0
2;38,0;3;19,0;32,0;8,0;59,0;49,0;24,0;10,0;10,0;7,0;12,0;16,0;8,0;15,0;10,0;12,0;65,0;0,0;105,0;30,0;12,0;23,0;24,0;18,0;49,0;16,0;21,0
2;38,0;3;13,0;27,0;12,0;52,0;46,0;30,0;12,0;9,0;12,0;14,0;12,0;9,0;11,0;11,0;13,0;75,0;45,0;155,0;-30,0;57,0;16,0;16,0;19,0;69,0;13,0;17,0
2;48,0;3;21,0;26,0;6,0;53,0;49,0;36,0;14,0;10,0;5,0;10,0;11,0;8,0;12,0;10,0;8,0;50,0;140,0;-15,0;80,0;32,0;16,0;13,0;11,0;77,0;19,0;21,0
1;48,0;3;22,0;23,0;4,0;49,0;38,0;28,0;7,0;11,0;8,0;14,0;12,0;5,0;12,0;15,0;11,0;110,0;-10,0;-75,0;190,0;62,0;27,0;23,0;23,0;84,0;13,0;23,0
2;64,0;4;17,0;17,0;8,0;42,0;70,0;43,0;22,0;8,0;7,0;13,0;3,0;4,0;10,0;8,0;1,0;-65,0;115,0;0,0;-50,0;-38,0;16,0;24,0;22,0;63,45454545454545;13,0;18,0
1;65,0;4;19,0;31,0;7,0;57,0;58,0;38,0;18,0;8,0;4,0;11,0;11,0;4,0;7,0;11,0;9,0;15,0;45,0;55,0;100,0;57,0;19,0;16,0;21,0;58,0;22,0;21,0
2;38,0;3;12,0;30,0;10,0;52,0;38,0;22,0;7,0;8,0;8,0;11,0;13,0;7,0;14,0;12,0;11,0;90,0;130,0;105,0;0,0;22,0;16,0;24,0;18,0;59,0;14,0;17,0
1;38,0;3;20,0;27,0;4,0;51,0;46,0;27,0;10,0;6,0;12,0;13,0;13,0;9,0;16,0;10,0;6,0;40,0;100,0;30,0;50,0;47,0;23,0;26,0;20,0;50,0;18,0;19,0
2;35,0;3;10,0;23,0;13,0;46,0;42,0;26,0;11,0;10,0;10,0;16,0;14,0;3,0;8,0;15,0;17,0;135,0;-35,0;120,0;140,0;37,0;25,0;13,0;16,0;81,0;10,0;20,0
1;44,0;3;14,0;29,0;15,0;58,0;51,0;31,0;11,0;9,0;4,0;11,0;6,0;6,0;2,0;12,0;11,0;60,0;180,0;60,0;-30,0;32,0;23,0;18,0;25,0;70,0;19,0;21,0
1;51,0;3;16,0;29,0;14,0;59,0;56,0;32,0;18,0;8,0;8,0;13,0;11,0;6,0;10,0;14,0;14,0;60,0;105,0;170,0;100,0;-58,0;23,0;17,0;18,0;59,0;13,0;21,0
1;38,0;3;20,0;26,0;5,0;51,0;46,0;24,0;12,0;12,0;7,0;9,0;14,0;12,0;16,0;5,0;8,0;35,0;120,0;55,0;80,0;-118,0;24,0;16,0;13,0;45,0;9,0;21,0
2;34,0;3;18,0;36,0;9,0;63,0;38,0;17,0;10,0;3,0;3,0;8,0;9,0;3,0;2,0;7,0;13,0;40,0;120,0;80,0;-90,0;7,0;13,0;16,0;9,0;70,0;21,0;23,0
1;60,0;4;11,0;24,0;16,0;51,0;50,0;29,0;13,0;6,0;9,0;11,0;8,0;6,0;9,0;11,0;8,0;60,0;105,0;100,0;40,0;27,0;25,0;22,0;21,0;54,0;20,0;16,0
1;32,0;3;17,0;28,0;8,0;53,0;49,0;26,0;12,0;9,0;4,0;15,0;8,0;7,0;5,0;14,0;6,0;130,0;-90,0;40,0;70,0;47,0;29,0;20,0;21,0;61,0;18,0;20,0
2;48,13636363636363;3;16,0;30,0;9,0;55,0;51,0;32,0;13,0;7,0;9,0;14,0;9,0;9,0;11,0;13,0;13,0;15,0;90,0;75,0;10,0;27,0;12,0;18,0;18,0;61,0;22,0;22,0
2;33,0;3;18,0;23,0;5,0;46,0;37,0;19,0;7,0;8,0;4,0;16,0;13,0;12,0;14,0;13,0;16,0;130,0;85,0;95,0;-50,0;-73,0;13,0;27,0;19,0;64,0;14,0;19,0
2;50,0;3;19,0;19,0;10,0;48,0;54,0;29,0;16,0;4,0;11,0;9,0;3,0;6,0;7,0;7,0;8,0;50,0;60,0;50,0;10,0;-28,0;15,0;11,0;16,0;77,0;20,0;21,0
2;38,0;3;20,0;36,0;10,0;66,0;56,0;40,0;11,0;15,0;1,0;13,0;12,0;6,0;12,0;8,0;10,0;120,0;225,0;-15,0;190,0;-38,0;28,0;32,0;31,0;66,0;28,0;27,0
2;44,0;3;18,0;32,0;4,0;54,0;47,0;35,0;12,0;10,0;4,0;15,0;8,0;7,0;10,0;10,0;5,0;15,0;130,0;5,0;100,0;72,0;24,0;25,0;12,0;66,0;17,0;20,0
2;58,0;4;18,0;25,0;5,0;48,0;46,0;21,0;8,0;12,0;3,0;8,0;18,0;8,0;7,0;11,0;15,0;-50,0;100,0;140,0;0,0;52,0;16,0;23,0;11,0;76,0;15,0;24,0
1;64,0;4;18,0;25,0;12,0;55,0;48,84126984126984;28,555555555555557;12,53968253968254;5,0;8,0;12,0;8,0;6,0;4,0;11,0;3,0;45,15384615384615;75,61538461538461;67,76923076923077;24,46153846153846;24,923076923076923;20,609375;18,734375;17,484375;55,0;17,258064516129032;20,741935483870968
1;38,0;3;15,0;18,0;7,0;40,0;48,0;19,0;10,0;3,0;3,0;15,0;14,0;5,0;6,0;9,0;15,0;60,0;105,0;10,0;210,0;122,0;37,0;22,0;22,0;58,0;16,0;16,0
1;69,0;4;8,0;41,0;14,0;63,0;41,0;32,0;11,0;6,0;4,0;9,0;10,0;5,0;7,0;11,0;10,0;25,0;-10,0;5,0;-100,0;72,0;11,0;10,0;10,0;65,0;22,0;22,0
1;70,0;4;16,0;21,0;14,0;51,0;52,0;29,0;14,0;11,0;11,0;17,0;10,0;10,0;11,0;13,0;13,0;60,0;130,0;20,0;20,0;62,0;23,0;21,0;17,0;60,0;19,0;16,0
1;54,0;3;15,0;20,0;10,0;45,0;51,0;28,0;15,0;10,0;4,0;11,0;17,0;10,0;11,0;13,0;16,0;-10,0;55,0;80,0;100,0;27,0;29,0;26,0;19,0;54,0;18,0;16,0
1;47,0;3;14,0;32,0;14,0;60,0;49,0;27,0;16,0;7,0;4,0;11,0;10,0;4,0;8,0;12,0;10,0;0,0;5,0;30,0;-120,0;57,0;15,0;14,0;13,0;70,0;18,0;12,0
2;34,0;3;19,0;30,0;6,0;55,0;50,0;27,0;12,0;8,0;4,0;17,0;12,0;5,0;8,0;17,0;13,0;85,0;160,0;90,0;-60,0;92,0;25,0;13,0;16,0;78,0;19,0;20,0
2;71,0;4;16,0;27,0;8,0;51,0;48,0;32,0;11,0;7,0;8,0;13,0;13,0;7,0;9,0;10,0;12,0;85,0;65,0;115,0;-80,0;-3,0;12,0;12,0;9,0;50,0;19,0;25,0
1;26,0;3;16,0;25,0;9,0;50,0;48,0;22,0;11,0;6,0;9,0;10,0;13,0;6,0;4,0;16,0;14,0;-20,0;-50,0;150,0;40,0;-3,0;21,0;13,0;13,0;68,0;14,0;14,0
2;38,0;3;15,0;30,0;9,0;54,0;55,0;32,0;16,0;9,0;9,0;13,0;12,0;4,0;14,0;12,0;12,0;35,0;65,0;55,0;-10,0;87,0;32,0;24,0;21,0;70,0;17,258064516129032;20,741935483870968
1;39,0;3;15,0;27,0;15,0;57,0;42,0;16,0;11,0;6,0;8,0;15,0;13,0;5,0;8,0;17,0;11,0;70,0;95,0;30,0;40,0;22,0;14,0;12,0;11,0;68,0;14,0;20,0
1;76,0;4;13,0;20,0;14,0;47,0;42,0;25,0;11,0;10,0;10,0;13,0;13,0;8,0;8,0;15,0;19,0;-20,0;80,0;90,0;110,0;27,0;13,0;15,0;17,0;68,0;12,0;18,0
1;64,0;4;15,0;25,0;9,0;49,0;56,0;32,0;11,0;6,0;6,0;9,0;11,0;6,0;9,0;11,0;13,0;75,0;95,0;115,0;40,0;57,0;22,0;21,0;14,0;70,0;17,0;23,0
1;66,0;4;22,0;29,0;10,0;61,0;59,0;25,0;16,0;5,0;7,0;9,0;6,0;7,0;10,0;6,0;8,0;30,0;120,0;10,0;-140,0;72,0;21,0;20,0;24,0;37,0;16,0;16,0
1;41,0;3;16,0;28,0;11,0;55,0;41,0;29,0;7,0;6,0;13,0;11,0;8,0;2,0;8,0;9,0;9,0;60,0;65,0;160,0;10,0;182,0;28,0;12,0;14,0;74,0;10,0;20,0
1;28,0;3;22,0;27,0;3,0;52,0;51,0;29,0;14,0;8,0;2,0;11,0;9,0;6,0;10,0;16,0;10,0;85,0;65,0;0,0;30,0;87,0;32,0;23,0;25,0;70,0;22,0;24,0
1;59,0;4;19,0;28,0;12,0;59,0;51,0;31,0;10,0;4,0;5,0;7,0;7,0;4,0;1,0;9,0;5,0;15,0;0,0;55,0;0,0;57,0;23,0;14,0;16,0;76,0;24,0;23,0
2;78,0;4;16,0;14,0;12,0;42,0;70,0;43,0;22,0;12,0;9,0;12,0;13,0;7,0;11,0;13,0;11,0;50,0;145,0;-40,0;30,0;27,0;19,0;28,0;27,0;36,0;14,0;21,0
