Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;ШПС
2;27;28;14;69;46;38;42,86;33,75;33,33;45,71;35,71;28,75;29;51
1;26;21;17;62;53;48;34,29;35;31,67;27,14;44,29;32,5;34;41
1;32;29;23;69;38;39;34,29;25;28,33;37,14;34,29;30;37;45
2;13;22;23;51;34;43;21,43;25;30;25,71;35,71;31,25;39;42
2;22;18;16;50;47;40;37,14;30;38,33;37,14;40;37,5;31;34
1;20;21;14;54;39;41;28,57;25;33,33;31,43;31,43;26,25;24;38
2;28;28;30;53;41;42;35,71;35;31,67;35,71;37,14;40;29;45
2;18;12;18;59;44;45;30;20;33,33;30;32,86;17,5;23;6
1;12;12;16;65;50;42;25,71;31,25;33,33;28,57;21,43;18,75;17;42
